District,Total Positive,Discharged,Active,Death,Date
Ariyalur,4637,4575,14,48,01-01-2021
Chengalpattu,50090,48764,582,744,01-01-2021
Chennai,225758,219216,2528,4014,01-01-2021
Coimbatore,52418,50966,798,654,01-01-2021
Cuddalore,24695,24277,135,283,01-01-2021
Dharmapuri,6423,6282,88,53,01-01-2021
Dindigul,10961,10610,154,197,01-01-2021
Erode,13721,13288,289,144,01-01-2021
Kallakurichi,10802,10677,17,108,01-01-2021
Kancheepuram,28732,28041,257,434,01-01-2021
Kanyakumari,16365,15969,140,256,01-01-2021
Karur,5177,5050,77,50,01-01-2021
Krishnagiri,7885,7668,101,116,01-01-2021
Madurai,20548,19939,156,453,01-01-2021
Nagapattinam,8164,7904,132,128,01-01-2021
Namakkal,11228,10933,186,109,01-01-2021
Nilgiris,7956,7794,116,46,01-01-2021
Perambalur,2257,2233,3,21,01-01-2021
Pudukottai,11412,11198,59,155,01-01-2021
Ramanathapuram,6324,6165,26,133,01-01-2021
Ranipet,15919,15680,58,181,01-01-2021
Salem,31626,30823,342,461,01-01-2021
Sivagangai,6539,6346,67,126,01-01-2021
Tenkasi,8272,8064,50,158,01-01-2021
Thanjavur,17201,16727,236,238,01-01-2021
Theni,16902,16637,61,204,01-01-2021
Thirupathur,7450,7273,52,125,01-01-2021
Thiruvallur,42682,41633,370,679,01-01-2021
Thiruvannamalai,19160,18805,73,282,01-01-2021
Thiruvarur,10942,10733,100,109,01-01-2021
Thoothukudi,16084,15861,82,141,01-01-2021
Tirunelveli,15303,14971,121,211,01-01-2021
Tiruppur,17102,16581,304,217,01-01-2021
Trichy,14203,13826,201,176,01-01-2021
Vellore,20243,19720,183,340,01-01-2021
Villupuram,15012,14791,111,110,01-01-2021
Virudhunagar,16358,16025,104,229,01-01-2021
AirportSurveillance(International),930,925,4,1,01-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,01-01-2021
RailwaySurveillance,428,428,0,0,01-01-2021
Ariyalur,4633,4577,8,48,02-01-2021
Chengalpattu,50159,48840,575,744,02-01-2021
Chennai,225998,219518,2462,4018,02-01-2021
Coimbatore,52496,51063,779,654,02-01-2021
Cuddalore,24707,24292,132,283,02-01-2021
Dharmapuri,6435,6290,92,53,02-01-2021
Dindigul,10981,10631,153,197,02-01-2021
Erode,13756,13313,299,144,02-01-2021
Kallakurichi,10802,10679,15,108,02-01-2021
Kancheepuram,28762,28065,263,434,02-01-2021
Kanyakumari,16387,15980,151,256,02-01-2021
Karur,5191,5055,86,50,02-01-2021
Krishnagiri,7889,7692,81,116,02-01-2021
Madurai,20573,19959,161,453,02-01-2021
Nagapattinam,8182,7917,134,131,02-01-2021
Namakkal,11250,10951,190,109,02-01-2021
Nilgiris,7968,7807,115,46,02-01-2021
Perambalur,2258,2233,4,21,02-01-2021
Pudukottai,11419,11203,61,155,02-01-2021
Ramanathapuram,6328,6167,27,134,02-01-2021
Ranipet,15927,15691,55,181,02-01-2021
Salem,31657,30864,331,462,02-01-2021
Sivagangai,6543,6352,65,126,02-01-2021
Tenkasi,8277,8070,49,158,02-01-2021
Thanjavur,17236,16754,244,238,02-01-2021
Theni,16914,16639,71,204,02-01-2021
Thirupathur,7464,7275,64,125,02-01-2021
Thiruvallur,42728,41688,361,679,02-01-2021
Thiruvannamalai,19169,18818,69,282,02-01-2021
Thiruvarur,10948,10749,90,109,02-01-2021
Thoothukudi,16092,15867,84,141,02-01-2021
Tirunelveli,15314,14985,118,211,02-01-2021
Tiruppur,17144,16633,292,219,02-01-2021
Trichy,14221,13852,193,176,02-01-2021
Vellore,20266,19741,185,340,02-01-2021
Villupuram,15023,14804,109,110,02-01-2021
Virudhunagar,16364,16038,97,229,02-01-2021
AirportSurveillance(International),930,925,4,1,02-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,02-01-2021
RailwaySurveillance,428,428,0,0,02-01-2021
Ariyalur,4633,4580,5,48,03-01-2021
Chengalpattu,50208,48936,528,744,03-01-2021
Chennai,226234,219805,2406,4023,03-01-2021
Coimbatore,52565,51157,753,655,03-01-2021
Cuddalore,24720,24305,132,283,03-01-2021
Dharmapuri,6443,6296,93,54,03-01-2021
Dindigul,10989,10647,145,197,03-01-2021
Erode,13795,13342,309,144,03-01-2021
Kallakurichi,10808,10680,20,108,03-01-2021
Kancheepuram,28794,28093,267,434,03-01-2021
Kanyakumari,16407,15992,159,256,03-01-2021
Karur,5207,5066,91,50,03-01-2021
Krishnagiri,7897,7706,75,116,03-01-2021
Madurai,20592,19976,163,453,03-01-2021
Nagapattinam,8192,7932,129,131,03-01-2021
Namakkal,11266,10977,180,109,03-01-2021
Nilgiris,7976,7820,110,46,03-01-2021
Perambalur,2258,2234,3,21,03-01-2021
Pudukottai,11425,11210,60,155,03-01-2021
Ramanathapuram,6334,6168,32,134,03-01-2021
Ranipet,15935,15697,56,182,03-01-2021
Salem,31703,30920,321,462,03-01-2021
Sivagangai,6546,6362,58,126,03-01-2021
Tenkasi,8285,8071,56,158,03-01-2021
Thanjavur,17259,16776,245,238,03-01-2021
Theni,16922,16642,76,204,03-01-2021
Thirupathur,7473,7279,69,125,03-01-2021
Thiruvallur,42773,41746,347,680,03-01-2021
Thiruvannamalai,19181,18824,74,283,03-01-2021
Thiruvarur,10958,10754,95,109,03-01-2021
Thoothukudi,16101,15873,87,141,03-01-2021
Tirunelveli,15328,15007,110,211,03-01-2021
Tiruppur,17170,16668,283,219,03-01-2021
Trichy,14248,13876,196,176,03-01-2021
Vellore,20283,19767,176,340,03-01-2021
Villupuram,15035,14821,104,110,03-01-2021
Virudhunagar,16385,16049,107,229,03-01-2021
AirportSurveillance(International),930,925,4,1,03-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,03-01-2021
RailwaySurveillance,428,428,0,0,03-01-2021
Ariyalur,4637,4581,8,48,04-01-2021
Chengalpattu,50260,49034,480,746,04-01-2021
Chennai,226456,220072,2359,4025,04-01-2021
Coimbatore,52649,51251,742,656,04-01-2021
Cuddalore,24730,24311,136,283,04-01-2021
Dharmapuri,6451,6307,90,54,04-01-2021
Dindigul,11002,10666,139,197,04-01-2021
Erode,13820,13379,296,145,04-01-2021
Kallakurichi,10815,10685,22,108,04-01-2021
Kancheepuram,28818,28124,260,434,04-01-2021
Kanyakumari,16431,16001,174,256,04-01-2021
Karur,5225,5078,97,50,04-01-2021
Krishnagiri,7904,7721,66,117,04-01-2021
Madurai,20612,19996,163,453,04-01-2021
Nagapattinam,8211,7945,135,131,04-01-2021
Namakkal,11272,10995,168,109,04-01-2021
Nilgiris,7993,7839,108,46,04-01-2021
Perambalur,2257,2234,2,21,04-01-2021
Pudukottai,11430,11221,54,155,04-01-2021
Ramanathapuram,6338,6173,31,134,04-01-2021
Ranipet,15944,15702,60,182,04-01-2021
Salem,31742,30966,313,463,04-01-2021
Sivagangai,6551,6373,52,126,04-01-2021
Tenkasi,8291,8076,57,158,04-01-2021
Thanjavur,17279,16804,236,239,04-01-2021
Theni,16933,16648,81,204,04-01-2021
Thirupathur,7478,7288,65,125,04-01-2021
Thiruvallur,42809,41798,331,680,04-01-2021
Thiruvannamalai,19192,18829,80,283,04-01-2021
Thiruvarur,10972,10761,102,109,04-01-2021
Thoothukudi,16110,15882,87,141,04-01-2021
Tirunelveli,15337,15015,110,212,04-01-2021
Tiruppur,17210,16699,292,219,04-01-2021
Trichy,14263,13898,189,176,04-01-2021
Vellore,20298,19792,166,340,04-01-2021
Villupuram,15047,14830,107,110,04-01-2021
Virudhunagar,16399,16065,105,229,04-01-2021
AirportSurveillance(International),930,925,4,1,04-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,04-01-2021
RailwaySurveillance,428,428,0,0,04-01-2021
Ariyalur,4642,4583,11,48,05-01-2021
Chengalpattu,50319,49125,447,747,05-01-2021
Chennai,226700,220328,2342,4030,05-01-2021
Coimbatore,52732,51337,738,657,05-01-2021
Cuddalore,24745,24322,140,283,05-01-2021
Dharmapuri,6463,6313,96,54,05-01-2021
Dindigul,11012,10686,129,197,05-01-2021
Erode,13851,13411,295,145,05-01-2021
Kallakurichi,10820,10687,25,108,05-01-2021
Kancheepuram,28837,28154,249,434,05-01-2021
Kanyakumari,16453,16017,180,256,05-01-2021
Karur,5235,5085,100,50,05-01-2021
Krishnagiri,7913,7735,61,117,05-01-2021
Madurai,20627,20012,160,455,05-01-2021
Nagapattinam,8220,7960,129,131,05-01-2021
Namakkal,11295,11012,173,110,05-01-2021
Nilgiris,8002,7854,102,46,05-01-2021
Perambalur,2258,2234,3,21,05-01-2021
Pudukottai,11436,11226,55,155,05-01-2021
Ramanathapuram,6341,6177,30,134,05-01-2021
Ranipet,15954,15705,67,182,05-01-2021
Salem,31771,31013,294,464,05-01-2021
Sivagangai,6557,6379,52,126,05-01-2021
Tenkasi,8298,8086,54,158,05-01-2021
Thanjavur,17287,16840,208,239,05-01-2021
Theni,16937,16660,73,204,05-01-2021
Thirupathur,7482,7295,62,125,05-01-2021
Thiruvallur,42849,41852,317,680,05-01-2021
Thiruvannamalai,19203,18835,85,283,05-01-2021
Thiruvarur,10982,10776,97,109,05-01-2021
Thoothukudi,16122,15890,91,141,05-01-2021
Tirunelveli,15344,15024,108,212,05-01-2021
Tiruppur,17237,16731,287,219,05-01-2021
Trichy,14290,13927,187,176,05-01-2021
Vellore,20309,19816,153,340,05-01-2021
Villupuram,15055,14846,99,110,05-01-2021
Virudhunagar,16408,16077,102,229,05-01-2021
AirportSurveillance(International),930,925,4,1,05-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,05-01-2021
RailwaySurveillance,428,428,0,0,05-01-2021
Ariyalur,4644,4584,11,49,06-01-2021
Chengalpattu,50362,49200,413,749,06-01-2021
Chennai,226937,220575,2327,4035,06-01-2021
Coimbatore,52821,51418,745,658,06-01-2021
Cuddalore,24761,24341,137,283,06-01-2021
Dharmapuri,6471,6331,86,54,06-01-2021
Dindigul,11019,10709,113,197,06-01-2021
Erode,13880,13450,285,145,06-01-2021
Kallakurichi,10822,10689,25,108,06-01-2021
Kancheepuram,28858,28179,245,434,06-01-2021
Kanyakumari,16466,16038,171,257,06-01-2021
Karur,5248,5099,99,50,06-01-2021
Krishnagiri,7921,7742,62,117,06-01-2021
Madurai,20645,20028,162,455,06-01-2021
Nagapattinam,8231,7972,128,131,06-01-2021
Namakkal,11309,11034,165,110,06-01-2021
Nilgiris,8012,7861,105,46,06-01-2021
Perambalur,2258,2235,2,21,06-01-2021
Pudukottai,11439,11233,51,155,06-01-2021
Ramanathapuram,6346,6183,29,134,06-01-2021
Ranipet,15972,15712,77,183,06-01-2021
Salem,31815,31050,301,464,06-01-2021
Sivagangai,6560,6390,44,126,06-01-2021
Tenkasi,8303,8099,46,158,06-01-2021
Thanjavur,17300,16872,189,239,06-01-2021
Theni,16942,16668,70,204,06-01-2021
Thirupathur,7488,7301,62,125,06-01-2021
Thiruvallur,42884,41895,309,680,06-01-2021
Thiruvannamalai,19212,18843,86,283,06-01-2021
Thiruvarur,10992,10787,96,109,06-01-2021
Thoothukudi,16132,15899,92,141,06-01-2021
Tirunelveli,15360,15035,113,212,06-01-2021
Tiruppur,17265,16768,278,219,06-01-2021
Trichy,14310,13953,181,176,06-01-2021
Vellore,20339,19831,168,340,06-01-2021
Villupuram,15058,14861,87,110,06-01-2021
Virudhunagar,16415,16088,98,229,06-01-2021
AirportSurveillance(International),930,925,4,1,06-01-2021
AirportSurveillance(Domestic),1026,1022,3,1,06-01-2021
RailwaySurveillance,428,428,0,0,06-01-2021
Ariyalur,4647,4585,13,49,07-01-2021
Chengalpattu,50412,49259,403,750,07-01-2021
Chennai,227145,220833,2274,4038,07-01-2021
Coimbatore,52899,51506,734,659,07-01-2021
Cuddalore,24772,24364,125,283,07-01-2021
Dharmapuri,6484,6347,83,54,07-01-2021
Dindigul,11031,10730,104,197,07-01-2021
Erode,13908,13483,280,145,07-01-2021
Kallakurichi,10826,10692,26,108,07-01-2021
Kancheepuram,28873,28209,230,434,07-01-2021
Kanyakumari,16504,16056,191,257,07-01-2021
Karur,5254,5115,89,50,07-01-2021
Krishnagiri,7930,7746,67,117,07-01-2021
Madurai,20667,20049,163,455,07-01-2021
Nagapattinam,8240,7988,121,131,07-01-2021
Namakkal,11327,11060,157,110,07-01-2021
Nilgiris,8021,7869,105,47,07-01-2021
Perambalur,2258,2235,2,21,07-01-2021
Pudukottai,11446,11236,55,155,07-01-2021
Ramanathapuram,6352,6185,33,134,07-01-2021
Ranipet,15981,15718,78,185,07-01-2021
Salem,31847,31078,305,464,07-01-2021
Sivagangai,6562,6402,34,126,07-01-2021
Tenkasi,8308,8104,46,158,07-01-2021
Thanjavur,17322,16897,186,239,07-01-2021
Theni,16950,16673,73,204,07-01-2021
Thirupathur,7491,7308,58,125,07-01-2021
Thiruvallur,42929,41919,330,680,07-01-2021
Thiruvannamalai,19222,18852,87,283,07-01-2021
Thiruvarur,11000,10803,88,109,07-01-2021
Thoothukudi,16146,15912,93,141,07-01-2021
Tirunelveli,15373,15050,111,212,07-01-2021
Tiruppur,17292,16798,274,220,07-01-2021
Trichy,14327,13980,169,178,07-01-2021
Vellore,20369,19848,180,341,07-01-2021
Villupuram,15058,14872,76,110,07-01-2021
Virudhunagar,16428,16100,99,229,07-01-2021
AirportSurveillance(International),930,926,3,1,07-01-2021
AirportSurveillance(Domestic),1027,1024,2,1,07-01-2021
RailwaySurveillance,428,428,0,0,07-01-2021
Ariyalur,4651,4586,16,49,08-01-2021
Chengalpattu,50470,49301,419,750,08-01-2021
Chennai,227353,221080,2231,4042,08-01-2021
Coimbatore,52978,51587,731,660,08-01-2021
Cuddalore,24780,24393,104,283,08-01-2021
Dharmapuri,6490,6360,76,54,08-01-2021
Dindigul,11045,10752,95,198,08-01-2021
Erode,13926,13519,261,146,08-01-2021
Kallakurichi,10831,10695,28,108,08-01-2021
Kancheepuram,28904,28235,235,434,08-01-2021
Kanyakumari,16522,16073,192,257,08-01-2021
Karur,5263,5124,89,50,08-01-2021
Krishnagiri,7938,7758,63,117,08-01-2021
Madurai,20690,20059,176,455,08-01-2021
Nagapattinam,8251,7998,122,131,08-01-2021
Namakkal,11347,11075,162,110,08-01-2021
Nilgiris,8031,7883,101,47,08-01-2021
Perambalur,2258,2235,2,21,08-01-2021
Pudukottai,11451,11243,53,155,08-01-2021
Ramanathapuram,6356,6188,34,134,08-01-2021
Ranipet,15994,15722,87,185,08-01-2021
Salem,31872,31114,294,464,08-01-2021
Sivagangai,6569,6410,33,126,08-01-2021
Tenkasi,8313,8107,48,158,08-01-2021
Thanjavur,17332,16935,158,239,08-01-2021
Theni,16957,16685,67,205,08-01-2021
Thirupathur,7499,7317,57,125,08-01-2021
Thiruvallur,42961,41946,335,680,08-01-2021
Thiruvannamalai,19231,18865,83,283,08-01-2021
Thiruvarur,11015,10821,85,109,08-01-2021
Thoothukudi,16153,15923,89,141,08-01-2021
Tirunelveli,15385,15068,105,212,08-01-2021
Tiruppur,17326,16834,272,220,08-01-2021
Trichy,14346,14002,166,178,08-01-2021
Vellore,20396,19870,185,341,08-01-2021
Villupuram,15068,14887,71,110,08-01-2021
Virudhunagar,16437,16108,100,229,08-01-2021
AirportSurveillance(International),932,926,5,1,08-01-2021
AirportSurveillance(Domestic),1027,1024,2,1,08-01-2021
RailwaySurveillance,428,428,0,0,08-01-2021
Ariyalur,4654,4588,17,49,09-01-2021
Chengalpattu,50515,49347,418,750,09-01-2021
Chennai,227575,221333,2198,4044,09-01-2021
Coimbatore,53049,51677,712,660,09-01-2021
Cuddalore,24790,24403,104,283,09-01-2021
Dharmapuri,6495,6367,74,54,09-01-2021
Dindigul,11053,10768,87,198,09-01-2021
Erode,13943,13561,236,146,09-01-2021
Kallakurichi,10836,10700,28,108,09-01-2021
Kancheepuram,28926,28256,235,435,09-01-2021
Kanyakumari,16538,16092,189,257,09-01-2021
Karur,5273,5135,88,50,09-01-2021
Krishnagiri,7945,7767,61,117,09-01-2021
Madurai,20707,20074,178,455,09-01-2021
Nagapattinam,8270,8012,127,131,09-01-2021
Namakkal,11359,11098,151,110,09-01-2021
Nilgiris,8033,7896,90,47,09-01-2021
Perambalur,2259,2236,2,21,09-01-2021
Pudukottai,11457,11246,56,155,09-01-2021
Ramanathapuram,6356,6190,32,134,09-01-2021
Ranipet,16001,15731,84,186,09-01-2021
Salem,31925,31155,306,464,09-01-2021
Sivagangai,6576,6411,39,126,09-01-2021
Tenkasi,8319,8112,49,158,09-01-2021
Thanjavur,17355,16963,152,240,09-01-2021
Theni,16965,16692,68,205,09-01-2021
Thirupathur,7503,7323,55,125,09-01-2021
Thiruvallur,42995,41973,342,680,09-01-2021
Thiruvannamalai,19238,18883,72,283,09-01-2021
Thiruvarur,11024,10836,79,109,09-01-2021
Thoothukudi,16160,15934,85,141,09-01-2021
Tirunelveli,15394,15080,102,212,09-01-2021
Tiruppur,17355,16871,264,220,09-01-2021
Trichy,14373,14023,172,178,09-01-2021
Vellore,20412,19887,182,343,09-01-2021
Villupuram,15077,14903,64,110,09-01-2021
Virudhunagar,16445,16117,99,229,09-01-2021
AirportSurveillance(International),932,926,5,1,09-01-2021
AirportSurveillance(Domestic),1027,1024,2,1,09-01-2021
RailwaySurveillance,428,428,0,0,09-01-2021
Ariyalur,4656,4589,18,49,10-01-2021
Chengalpattu,50557,49389,418,750,10-01-2021
Chennai,227800,221573,2182,4045,10-01-2021
Coimbatore,53129,51764,704,661,10-01-2021
Cuddalore,24799,24417,99,283,10-01-2021
Dharmapuri,6500,6378,68,54,10-01-2021
Dindigul,11062,10778,86,198,10-01-2021
Erode,13968,13597,225,146,10-01-2021
Kallakurichi,10836,10702,26,108,10-01-2021
Kancheepuram,28946,28285,226,435,10-01-2021
Kanyakumari,16558,16115,186,257,10-01-2021
Karur,5282,5148,84,50,10-01-2021
Krishnagiri,7951,7771,63,117,10-01-2021
Madurai,20717,20097,165,455,10-01-2021
Nagapattinam,8280,8031,118,131,10-01-2021
Namakkal,11376,11124,142,110,10-01-2021
Nilgiris,8046,7913,86,47,10-01-2021
Perambalur,2259,2236,2,21,10-01-2021
Pudukottai,11467,11253,59,155,10-01-2021
Ramanathapuram,6358,6192,30,136,10-01-2021
Ranipet,16007,15737,84,186,10-01-2021
Salem,31970,31185,321,464,10-01-2021
Sivagangai,6579,6414,39,126,10-01-2021
Tenkasi,8323,8118,47,158,10-01-2021
Thanjavur,17371,16989,140,242,10-01-2021
Theni,16970,16705,60,205,10-01-2021
Thirupathur,7508,7331,52,125,10-01-2021
Thiruvallur,43020,42006,333,681,10-01-2021
Thiruvannamalai,19246,18889,74,283,10-01-2021
Thiruvarur,11031,10841,81,109,10-01-2021
Thoothukudi,16167,15946,80,141,10-01-2021
Tirunelveli,15406,15094,100,212,10-01-2021
Tiruppur,17382,16910,252,220,10-01-2021
Trichy,14382,14032,172,178,10-01-2021
Vellore,20430,19910,177,343,10-01-2021
Villupuram,15079,14910,59,110,10-01-2021
Virudhunagar,16452,16128,95,229,10-01-2021
AirportSurveillance(International),936,926,9,1,10-01-2021
AirportSurveillance(Domestic),1027,1024,2,1,10-01-2021
RailwaySurveillance,428,428,0,0,10-01-2021
Ariyalur,4657,4590,18,49,11-01-2021
Chengalpattu,50609,49441,418,750,11-01-2021
Chennai,227975,221820,2107,4048,11-01-2021
Coimbatore,53200,51848,691,661,11-01-2021
Cuddalore,24805,24433,89,283,11-01-2021
Dharmapuri,6506,6387,65,54,11-01-2021
Dindigul,11071,10786,87,198,11-01-2021
Erode,13993,13632,215,146,11-01-2021
Kallakurichi,10837,10704,25,108,11-01-2021
Kancheepuram,28970,28317,218,435,11-01-2021
Kanyakumari,16578,16141,180,257,11-01-2021
Karur,5291,5163,78,50,11-01-2021
Krishnagiri,7958,7776,65,117,11-01-2021
Madurai,20736,20116,165,455,11-01-2021
Nagapattinam,8287,8053,103,131,11-01-2021
Namakkal,11390,11138,142,110,11-01-2021
Nilgiris,8057,7924,86,47,11-01-2021
Perambalur,2259,2237,1,21,11-01-2021
Pudukottai,11472,11264,53,155,11-01-2021
Ramanathapuram,6359,6194,29,136,11-01-2021
Ranipet,16013,15744,83,186,11-01-2021
Salem,32004,31217,323,464,11-01-2021
Sivagangai,6582,6416,40,126,11-01-2021
Tenkasi,8325,8123,44,158,11-01-2021
Thanjavur,17393,17010,140,243,11-01-2021
Theni,16972,16713,54,205,11-01-2021
Thirupathur,7512,7340,47,125,11-01-2021
Thiruvallur,43060,42045,333,682,11-01-2021
Thiruvannamalai,19254,18896,75,283,11-01-2021
Thiruvarur,11037,10850,78,109,11-01-2021
Thoothukudi,16173,15957,75,141,11-01-2021
Tirunelveli,15416,15107,97,212,11-01-2021
Tiruppur,17408,16941,247,220,11-01-2021
Trichy,14403,14044,181,178,11-01-2021
Vellore,20449,19931,175,343,11-01-2021
Villupuram,15080,14920,50,110,11-01-2021
Virudhunagar,16459,16145,84,230,11-01-2021
AirportSurveillance(International),936,928,7,1,11-01-2021
AirportSurveillance(Domestic),1029,1025,3,1,11-01-2021
RailwaySurveillance,428,428,0,0,11-01-2021
Ariyalur,4660,4592,19,49,12-01-2021
Chengalpattu,50651,49500,401,750,12-01-2021
Chennai,228169,222039,2077,4053,12-01-2021
Coimbatore,53259,51926,672,661,12-01-2021
Cuddalore,24810,24437,89,284,12-01-2021
Dharmapuri,6511,6392,65,54,12-01-2021
Dindigul,11078,10802,78,198,12-01-2021
Erode,14014,13663,205,146,12-01-2021
Kallakurichi,10839,10706,25,108,12-01-2021
Kancheepuram,28990,28355,199,436,12-01-2021
Kanyakumari,16599,16152,190,257,12-01-2021
Karur,5300,5168,82,50,12-01-2021
Krishnagiri,7967,7785,65,117,12-01-2021
Madurai,20747,20140,152,455,12-01-2021
Nagapattinam,8293,8071,91,131,12-01-2021
Namakkal,11405,11157,138,110,12-01-2021
Nilgiris,8071,7939,85,47,12-01-2021
Perambalur,2259,2237,1,21,12-01-2021
Pudukottai,11478,11269,54,155,12-01-2021
Ramanathapuram,6365,6201,27,137,12-01-2021
Ranipet,16018,15753,79,186,12-01-2021
Salem,32035,31244,327,464,12-01-2021
Sivagangai,6588,6418,44,126,12-01-2021
Tenkasi,8328,8128,42,158,12-01-2021
Thanjavur,17416,17028,145,243,12-01-2021
Theni,16976,16721,50,205,12-01-2021
Thirupathur,7517,7351,41,125,12-01-2021
Thiruvallur,43096,42091,323,682,12-01-2021
Thiruvannamalai,19260,18909,68,283,12-01-2021
Thiruvarur,11042,10864,69,109,12-01-2021
Thoothukudi,16180,15966,73,141,12-01-2021
Tirunelveli,15425,15119,94,212,12-01-2021
Tiruppur,17431,16971,240,220,12-01-2021
Trichy,14421,14062,181,178,12-01-2021
Vellore,20471,19950,178,343,12-01-2021
Villupuram,15084,14927,47,110,12-01-2021
Virudhunagar,16466,16157,79,230,12-01-2021
AirportSurveillance(International),938,928,9,1,12-01-2021
AirportSurveillance(Domestic),1029,1025,3,1,12-01-2021
RailwaySurveillance,428,428,0,0,12-01-2021
Ariyalur,4660,4593,18,49,13-01-2021
Chengalpattu,50710,49570,388,752,13-01-2021
Chennai,228368,222272,2042,4054,13-01-2021
Coimbatore,53331,52009,660,662,13-01-2021
Cuddalore,24819,24445,90,284,13-01-2021
Dharmapuri,6515,6394,67,54,13-01-2021
Dindigul,11086,10815,73,198,13-01-2021
Erode,14030,13697,186,147,13-01-2021
Kallakurichi,10843,10712,23,108,13-01-2021
Kancheepuram,29004,28383,185,436,13-01-2021
Kanyakumari,16607,16171,179,257,13-01-2021
Karur,5305,5178,77,50,13-01-2021
Krishnagiri,7980,7790,73,117,13-01-2021
Madurai,20761,20151,155,455,13-01-2021
Nagapattinam,8302,8088,83,131,13-01-2021
Namakkal,11421,11170,141,110,13-01-2021
Nilgiris,8078,7951,80,47,13-01-2021
Perambalur,2259,2237,1,21,13-01-2021
Pudukottai,11483,11270,58,155,13-01-2021
Ramanathapuram,6370,6204,29,137,13-01-2021
Ranipet,16022,15766,70,186,13-01-2021
Salem,32065,31279,322,464,13-01-2021
Sivagangai,6593,6422,45,126,13-01-2021
Tenkasi,8332,8139,35,158,13-01-2021
Thanjavur,17440,17042,155,243,13-01-2021
Theni,16986,16733,48,205,13-01-2021
Thirupathur,7521,7357,39,125,13-01-2021
Thiruvallur,43118,42134,302,682,13-01-2021
Thiruvannamalai,19266,18917,66,283,13-01-2021
Thiruvarur,11047,10871,67,109,13-01-2021
Thoothukudi,16184,15973,70,141,13-01-2021
Tirunelveli,15438,15129,97,212,13-01-2021
Tiruppur,17455,16999,236,220,13-01-2021
Trichy,14439,14083,177,179,13-01-2021
Vellore,20494,19961,190,343,13-01-2021
Villupuram,15087,14932,45,110,13-01-2021
Virudhunagar,16472,16174,68,230,13-01-2021
AirportSurveillance(International),938,928,9,1,13-01-2021
AirportSurveillance(Domestic),1030,1025,4,1,13-01-2021
RailwaySurveillance,428,428,0,0,13-01-2021
Ariyalur,4660,4594,17,49,14-01-2021
Chengalpattu,50757,49625,380,752,14-01-2021
Chennai,228566,222501,2008,4057,14-01-2021
Coimbatore,53408,52101,645,662,14-01-2021
Cuddalore,24826,24462,80,284,14-01-2021
Dharmapuri,6520,6400,66,54,14-01-2021
Dindigul,11094,10819,77,198,14-01-2021
Erode,14042,13718,177,147,14-01-2021
Kallakurichi,10848,10714,26,108,14-01-2021
Kancheepuram,29018,28413,169,436,14-01-2021
Kanyakumari,16625,16192,176,257,14-01-2021
Karur,5311,5190,71,50,14-01-2021
Krishnagiri,7992,7798,77,117,14-01-2021
Madurai,20774,20170,149,455,14-01-2021
Nagapattinam,8309,8099,79,131,14-01-2021
Namakkal,11436,11186,140,110,14-01-2021
Nilgiris,8090,7960,83,47,14-01-2021
Perambalur,2259,2238,0,21,14-01-2021
Pudukottai,11486,11278,53,155,14-01-2021
Ramanathapuram,6373,6208,28,137,14-01-2021
Ranipet,16028,15777,65,186,14-01-2021
Salem,32091,31320,307,464,14-01-2021
Sivagangai,6600,6429,45,126,14-01-2021
Tenkasi,8337,8143,36,158,14-01-2021
Thanjavur,17460,17054,163,243,14-01-2021
Theni,16992,16737,50,205,14-01-2021
Thirupathur,7526,7361,40,125,14-01-2021
Thiruvallur,43142,42171,289,682,14-01-2021
Thiruvannamalai,19272,18926,63,283,14-01-2021
Thiruvarur,11055,10879,67,109,14-01-2021
Thoothukudi,16188,15979,68,141,14-01-2021
Tirunelveli,15445,15141,92,212,14-01-2021
Tiruppur,17479,17036,223,220,14-01-2021
Trichy,14453,14107,167,179,14-01-2021
Vellore,20519,19980,195,344,14-01-2021
Villupuram,15098,14943,45,110,14-01-2021
Virudhunagar,16476,16188,58,230,14-01-2021
AirportSurveillance(International),938,928,9,1,14-01-2021
AirportSurveillance(Domestic),1031,1025,5,1,14-01-2021
RailwaySurveillance,428,428,0,0,14-01-2021
Ariyalur,4660,4597,14,49,15-01-2021
Chengalpattu,50782,49663,365,754,15-01-2021
Chennai,228746,222716,1971,4059,15-01-2021
Coimbatore,53475,52188,625,662,15-01-2021
Cuddalore,24840,24486,70,284,15-01-2021
Dharmapuri,6526,6414,58,54,15-01-2021
Dindigul,11104,10824,82,198,15-01-2021
Erode,14058,13741,170,147,15-01-2021
Kallakurichi,10852,10717,27,108,15-01-2021
Kancheepuram,29040,28432,172,436,15-01-2021
Kanyakumari,16635,16218,160,257,15-01-2021
Karur,5321,5203,68,50,15-01-2021
Krishnagiri,7999,7805,77,117,15-01-2021
Madurai,20788,20193,140,455,15-01-2021
Nagapattinam,8314,8108,75,131,15-01-2021
Namakkal,11448,11207,131,110,15-01-2021
Nilgiris,8095,7972,76,47,15-01-2021
Perambalur,2260,2238,1,21,15-01-2021
Pudukottai,11491,11288,48,155,15-01-2021
Ramanathapuram,6376,6210,29,137,15-01-2021
